#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: MonoGame.png (192 x 32)
# $TexturePacker:SmartUpdate:cd0c2edfd73f8b9f7fc25a992ce86370:2adc14534ee3fc195bc7efe38741535d:2fb04318ffd01ef337ef66456d2b4e42$
#

adventurer-idle-2-00;0;35;1;14;16;25;19;0.6071428571428571;0.40625
adventurer-idle-2-01;0;51;1;14;16;25;19;0.6071428571428571;0.40625
adventurer-idle-2-02;0;1;1;15;16;25;19;0.6333333333333333;0.40625
adventurer-idle-2-03;0;18;1;15;16;25;19;0.6333333333333333;0.40625
adventurer-jump-00;0;136;13;13;14;25;19;0.5;0.32142857142857145
adventurer-jump-01;0;164;1;13;13;25;19;0.5;0.2692307692307692
adventurer-jump-02;1;1;19;17;12;25;19;0.4583333333333333;0.4411764705882353
adventurer-jump-03;0;121;13;13;15;25;19;0.5;0.5666666666666667
adventurer-run-00;0;83;1;13;16;25;19;0.4230769230769231;0.40625
adventurer-run-01;1;38;19;16;12;25;19;0.4583333333333333;0.40625
adventurer-run-02;1;74;19;15;12;25;19;0.4583333333333333;0.36666666666666664
adventurer-run-03;0;67;1;14;16;25;19;0.39285714285714285;0.40625
adventurer-run-04;1;56;19;16;12;25;19;0.4583333333333333;0.40625
adventurer-run-05;1;91;19;15;12;25;19;0.4583333333333333;0.36666666666666664
adventurer-slide-00;0;98;1;20;10;25;19;0.575;0.05
adventurer-slide-01;0;120;1;20;10;25;19;0.575;0.05
adventurer-smrslt-00;0;179;17;10;14;25;19;0.45;0.5357142857142857
adventurer-smrslt-01;1;151;13;11;14;25;19;0.4642857142857143;0.5
adventurer-smrslt-02;1;164;16;13;11;25;19;0.3181818181818182;0.4230769230769231
adventurer-smrslt-03;0;20;19;16;12;25;19;0.53125;0.375
adventurer-stand-00;0;142;1;20;10;25;19;0.575;0.05
adventurer-stand-01;1;108;13;11;18;25;19;0.5277777777777778;0.13636363636363635
adventurer-stand-02;1;179;1;11;14;25;19;0.4642857142857143;0.13636363636363635
