#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: MonoGame@2x.png (276 x 64)
# $TexturePacker:SmartUpdate:cd0c2edfd73f8b9f7fc25a992ce86370:2adc14534ee3fc195bc7efe38741535d:2fb04318ffd01ef337ef66456d2b4e42$
#

adventurer-idle-2-00;0;136;1;25;29;50;37;0.64;0.3620689655172414
adventurer-idle-2-01;0;147;32;25;29;50;37;0.64;0.3620689655172414
adventurer-idle-2-02;0;80;1;27;30;50;37;0.6296296296296297;0.38333333333333336
adventurer-idle-2-03;0;94;33;27;30;50;37;0.6296296296296297;0.38333333333333336
adventurer-jump-00;0;222;30;22;26;50;37;0.5;0.28846153846153844
adventurer-jump-01;0;1;39;22;24;50;37;0.5;0.22916666666666666
adventurer-jump-02;0;187;1;21;29;50;37;0.42857142857142855;0.43103448275862066
adventurer-jump-03;1;46;39;25;23;50;37;0.5217391304347826;0.58
adventurer-run-00;0;123;33;22;30;50;37;0.4090909090909091;0.38333333333333336
adventurer-run-01;0;163;1;22;29;50;37;0.45454545454545453;0.3620689655172414
adventurer-run-02;0;198;32;22;27;50;37;0.45454545454545453;0.3148148148148148
adventurer-run-03;0;109;1;25;30;50;37;0.36;0.38333333333333336
adventurer-run-04;0;174;32;22;29;50;37;0.45454545454545453;0.3620689655172414
adventurer-run-05;0;210;1;22;27;50;37;0.45454545454545453;0.3148148148148148
adventurer-slide-00;1;21;1;17;36;50;37;0.5833333333333334;-0.08823529411764706
adventurer-slide-01;1;40;1;17;36;50;37;0.5833333333333334;-0.08823529411764706
adventurer-smrslt-00;0;255;1;17;23;50;37;0.47058823529411764;0.5434782608695652
adventurer-smrslt-01;1;234;1;19;26;50;37;0.46153846153846156;0.5
adventurer-smrslt-02;0;246;29;20;23;50;37;0.3;0.41304347826086957
adventurer-smrslt-03;1;73;35;19;28;50;37;0.5357142857142857;0.34210526315789475
adventurer-stand-00;1;1;1;18;36;50;37;0.5833333333333334;-0.027777777777777776
adventurer-stand-01;1;59;1;19;32;50;37;0.53125;0.02631578947368421
adventurer-stand-02;1;25;39;19;24;50;37;0.4583333333333333;0.02631578947368421
